species,longitude,latitude
Cynomys_mexicanus,-101.110503,25.194201
Cynomys_mexicanus,-101.744069,27.157827
Cynomys_mexicanus,-100.608298,25.348478
Cynomys_mexicanus,-100.838678,24.849985
Cynomys_mexicanus,-101.277428,25.094747
Cynomys_mexicanus,-100.092653,24.963675
Cynomys_mexicanus,-101.128785,24.932968
Cynomys_mexicanus,-100.281278,24.407103
Cynomys_mexicanus,-100.228858,24.706579
Cynomys_mexicanus,-100.985248,24.94388
Cynomys_mexicanus,-100.616334,24.872798
Cynomys_mexicanus,-100.245156,24.560762
Cynomys_mexicanus,-100.493318,25.112382
Cynomys_mexicanus,-100.347106,24.531375
Cynomys_mexicanus,-100.88851,25.149209
Cynomys_mexicanus,-100.511131,24.48336
Cynomys_mexicanus,-100.437565,25.009928
Cynomys_mexicanus,-100.07636,24.821096
Cynomys_mexicanus,-100.706581,24.741383
Cynomys_mexicanus,-100.500365,24.309284
Cynomys_mexicanus,-100.684862,25.110536
Cynomys_mexicanus,-100.794662,24.26862
Cynomys_mexicanus,-100.913423,23.985167
Cynomys_mexicanus,-100.916835,24.112413
Cynomys_mexicanus,-100.903465,24.213856
Cynomys_mexicanus,-100.069575,24.664807
Cynomys_mexicanus,-100.463661,24.840047
Cynomys_mexicanus,-100.340832,24.645546
Cynomys_mexicanus,-100.48521,24.928192
Cynomys_mexicanus,-100.727084,25.23115
Cynomys_mexicanus,-100.984882,25.049123
Cynomys_mexicanus,-101.078465,25.106375
Cynomys_mexicanus,-101.094161,24.846332
Cynomys_mexicanus,-100.603359,24.713134
Cynomys_mexicanus,-100.577939,25.022016
Cynomys_mexicanus,-100.762048,24.422134
Cynomys_mexicanus,-100.695692,24.992794
Cynomys_mexicanus,-100.299707,25.095266
Cynomys_mexicanus,-100.734385,24.886633
Cynomys_mexicanus,-100.988775,24.825826
Cynomys_mexicanus,-100.794394,24.514823
Cynomys_mexicanus,-101.191129,25.015658
Cynomys_mexicanus,-100.806816,25.072287
Cynomys_mexicanus,-100.381732,24.445915
Cynomys_mexicanus,-100.904855,24.705049
Cynomys_mexicanus,-100.840495,24.979065
