species,longitude,latitude
Cynomys mexicanus,-100.904897,25.016417
Cynomys mexicanus,-100.804283,25.166565
Cynomys mexicanus,-101.110503,25.194201
Cynomys mexicanus,-101.341931,25.087207
Cynomys mexicanus,-101.744069,27.157827
Cynomys mexicanus,-101.095498,25.058266
Cynomys mexicanus,-100.826811,25.090584
Cynomys mexicanus,-100.292179,24.57697
Cynomys mexicanus,-100.953167,25.100761
Cynomys mexicanus,-100.867055,24.883915
Cynomys mexicanus,-100.960154,25.114873
Cynomys mexicanus,-100.820872,25.081021
Cynomys mexicanus,-100.608298,25.348478
Cynomys mexicanus,-100.901128,24.803266
Cynomys mexicanus,-100.838678,24.849985
Cynomys mexicanus,-100.881937,24.921095
Cynomys mexicanus,-100.877183,25.11511
Cynomys mexicanus,-100.826204,24.847909
Cynomys mexicanus,-101.277428,25.094747
Cynomys mexicanus,-100.092653,24.963675
Cynomys mexicanus,-100.987988,24.100786
Cynomys mexicanus,-100.385164,24.439698
Cynomys mexicanus,-100.855481,25.023132
Cynomys mexicanus,-100.940884,25.000984
Cynomys mexicanus,-100.956659,24.065524
Cynomys mexicanus,-101.128785,24.932968
Cynomys mexicanus,-100.705223,25.035981
Cynomys mexicanus,-100.280911,24.769584
Cynomys mexicanus,-100.281278,24.407103
Cynomys mexicanus,-100.228858,24.706579
Cynomys mexicanus,-100.608663,24.996541
Cynomys mexicanus,-100.333183,24.510607
Cynomys mexicanus,-100.985248,24.94388
Cynomys mexicanus,-100.489566,24.416126
Cynomys mexicanus,-100.616334,24.872798
Cynomys mexicanus,-100.577526,25.015637
Cynomys mexicanus,-101.014852,24.850294
Cynomys mexicanus,-101.043829,24.823719
Cynomys mexicanus,-100.876592,24.489237
Cynomys mexicanus,-100.654621,24.915495
Cynomys mexicanus,-100.245156,24.560762
Cynomys mexicanus,-100.976566,25.121374
Cynomys mexicanus,-100.863238,25.11228
Cynomys mexicanus,-100.493318,25.112382
Cynomys mexicanus,-100.504308,25.164533
Cynomys mexicanus,-100.347106,24.531375
